sector,longBusinessSummary,city,phone,state,country,website,maxAge,address1,industry,ebitdaMargins,profitMargins,grossMargins,operatingCashflow,revenueGrowth,operatingMargins,ebitda,recommendationKey,grossProfits,freeCashflow,currentPrice,currentRatio,returnOnAssets,debtToEquity,returnOnEquity,totalCash,totalDebt,totalRevenue,totalCashPerShare,financialCurrency,revenuePerShare,quickRatio,exchange,shortName,longName,exchangeTimezoneName,exchangeTimezoneShortName,isEsgPopulated,gmtOffSetMilliseconds,quoteType,symbol,messageBoardId,market,enterpriseToRevenue,enterpriseToEbitda,fiftyTwoWeekChange,sharesOutstanding,bookValue,lastFiscalYearEnd,heldPercentInstitutions,netIncomeToCommon,trailingEps,SandP52WeekChange,priceToBook,heldPercentInsiders,nextFiscalYearEnd,mostRecentQuarter,floatShares,beta,enterpriseValue,priceHint,priceToSalesTrailing12Months,forwardPE,previousClose,regularMarketOpen,twoHundredDayAverage,trailingAnnualDividendYield,payoutRatio,regularMarketDayHigh,averageDailyVolume10Day,regularMarketPreviousClose,fiftyDayAverage,trailingAnnualDividendRate,openPrice,averageVolume10days,regularMarketDayLow,currency,regularMarketVolume,marketCap,averageVolume,dayLow,ask,askSize,volume,fiftyTwoWeekHigh,fiftyTwoWeekLow,bid,tradeable,bidSize,dayHigh,regularMarketPrice,logoUrl,underlyingSymbol,underlyingExchangeSymbol,headSymbol,uuid
Basic Materials,"Baumart Holdings Limited, together with its subsidiaries, procures, supplies, and installs building products and materials for the residential and commercial construction markets in Australia. The company operates through Materials Handling Supply, Building Materials Supply, and Source & Procurement Supply segments. It also offers plastic materials handling unit load products, such as pallets and crates; and volcanic natural stones, as well as provides end-to-end supply chain and managed services. The company was incorporated in 2014 and is headquartered in North Fremantle, Australia.",North Fremantle,61 8 6558 0814,WA,Australia,https://www.baumart.com.au,1,15 McCabe Street,Building Materials,0.61125,1.63907,0.19059,-685791,,-3.02536,130817,none,40790,-1312926,0.12,1.241,-0.046529997,16.689,-0.07492,110544,906538,214014,0.001,AUD,0.001,0.122,ASX,BAUMART FPO,Baumart Holdings Limited,Australia/Sydney,AEDT,False,39600000,EQUITY,BMH.AX,finmb_301218835,au_market,84.879,138.861,,144744992,0.038,1656547200,0.0,-402553,0.024,,3.1578948,0.92716,1719705600,1656547200,12724512,0.341463,18165364,4,81.1601,,0.12,0.12,0.14615,,0.0,0.12,0,0.12,0.12,,0.12,0,0.12,AUD,55071,17369398,0,0.12,0.125,0,55071,0.2,0.1,0.08,False,0,0.12,0.12,https://logo.clearbit.com/baumart.com.au,,,,13cce072-a3b3-37be-88d8-2bd56a3b6b6e
Basic Materials,"Boab Metals Limited engages in the exploration of mineral tenements in Australia and Latin America. The company primarily explores for gold, copper, zinc, silver, and lead deposits. Its flagship property is the Sorby Hills project located in the Kimberley Region of Western Australia. The company was formerly known as Pacifico Minerals Limited and changed its name to Boab Metals Limited in January 2021. Boab Metals Limited was incorporated in 2003 and is headquartered in West Perth, Australia.",West Perth,61 8 6268 0449,WA,Australia,https://boabmetals.com,1,4 Clive Street,Other Industrial Metals & Mining,0.0,0.0,1.0,-6489243,-0.794,-22.974009,-5760693,none,251492,-4319317,0.3,7.495,-0.23811,0.947,-0.49377,6317527,100194,251492,0.041,AUD,0.002,7.455,ASX,BOABMETALS FPO,Boab Metals Limited,Australia/Sydney,AEDT,False,39600000,EQUITY,BML.AX,finmb_11016326,au_market,97.345,-4.25,,153494000,0.13,1656547200,0.0,-6804523,-0.029,,2.3076925,0.32543,1719705600,1656547200,113605164,1.996576,24481372,4,183.10005,-30.000002,0.3,0.305,0.272375,,0.0,0.305,149247,0.3,0.2937,,0.305,149247,0.3,AUD,17213,46048200,352252,0.3,0.305,,17213,0.47,0.165,0.29,False,,0.305,0.3,https://logo.clearbit.com/boabmetals.com,,,,c78aebfb-4f27-34c7-b187-95202f6444ec
Basic Materials,"Balkan Mining and Minerals Limited, a mineral exploration company, engages in the exploration and development of lithium and related battery minerals in the Balkans region of Serbia. The company holds interest in the the Rekovac lithium-borate project comprising three separate licenses with an aggregate land area of 273 square kilometers located in Serbia; the Dobrinja exploration project that covers an area of 37.5 square kilometers located in Serbia; and the Pranjani exploration project that covers an area of 25.9 square kilometers located in Serbia. It also holds an option to acquire 100% interest in the Gorge lithium exploration project that covers an area of 20.8 square kilometers located in the Georgia Lake area. The company is headquartered in Subiaco, Australia.",Perth,61 8 6109 6684,WA,Australia,https://www.balkanmin.com,1,108 St Georges Terrace,Other Industrial Metals & Mining,0.0,0.0,1.0,-1636006,,-4003.1587,-2861983,none,718,-787956,0.32,29.311,-0.50645,0.507,-0.97077006,3615646,27132,718,0.079,AUD,0.0,28.825,ASX,BALKAN MIN FPO,Balkan Mining and Minerals Limited,Australia/Sydney,AEDT,False,39600000,EQUITY,BMM.AX,finmb_257105094,au_market,12639.604,-3.171,,46050000,,1656547200,0.0,-3078739,,,,0.86542,1719705600,1656547200,14465226,,9075236,4,20523.678,,0.315,0.32,0.2709375,,0.0,0.32,57258,0.315,0.3107,,0.32,57258,0.32,AUD,4624,14736000,56931,0.32,0.355,,4624,0.6,0.15,0.32,False,,0.32,0.32,https://logo.clearbit.com/balkanmin.com,,,,165ee875-a5cd-3579-9df8-c7d036b73595
Energy,"Bannerman Energy Ltd engages in the exploration and development of uranium properties in Namibia, Southern Africa. Its principal property is its 95% owned Etango Project located in the Erongo uranium mining region of Namibia. The company was formerly known as Bannerman Resources Limited and changed its name to Bannerman Energy Ltd in July 2021. Bannerman Energy Ltd was incorporated in 2005 and is based in Subiaco, Australia.",Subiaco,61 8 9381 1436,WA,Australia,https://bannermanenergy.com,1,245 Churchill Avenue,Uranium,0.0,0.0,1.0,-2193000,0.456,-36.08081,-3570000,hold,,-12419500,1.675,35.943,-0.0239,0.013,-0.03779,51930000,16000,99000,0.347,AUD,0.001,31.478,ASX,BANNERMAN FPO,Bannerman Energy Ltd,Australia/Sydney,AEDT,False,39600000,EQUITY,BMN.AX,finmb_22225911,au_market,2633.605,-73.033,,1231760000,0.05,1656547200,0.23733999,-3451000,-0.002,,33.5,0.044180002,1719705600,1656547200,134597733,2.176294,260726880,4,20840.383,-5.583333,1.64,1.63,2.0207,,0.0,1.7,293648,1.64,1.8228,,1.63,293648,1.63,AUD,299227,2063197952,338490,1.63,1.675,0,299227,3.25,1.5,1.65,False,0,1.7,1.675,https://logo.clearbit.com/bannermanenergy.com,,,,a834d61b-56fa-3134-b073-b121e5947fe9
Basic Materials,"Bastion Minerals Limited engages in the exploration, evaluation, and development of mineral properties in the Atacama region, Chile. The company explores for gold, silver, and copper deposits. The company's flagship project is the Capote project covering approximately 88.55km2. It also holds interests in Cometa projects comprising approximately 56km2 exploration and mining licences; and Garin projects covering approximately 13km2. The company was formerly known as Comet Exploration Limited and changed its name to Bastion Minerals Limited in September 2020. Bastion Minerals Limited was incorporated in 2010 and is based in Sydney, Australia.",Sydney,,NSW,Australia,https://www.bastionminerals.com,1,22 Pitt Street,Other Precious Metals & Mining,0.0,0.0,1.0,-2143086,5.475,-42.20224,-3573528,none,40500,-2360899,0.031,4.555,-0.39266,19.36,-0.73417,1596180,979165,89771,0.019,AUD,0.001,4.333,ASX,BASTIONMIN FPO,Bastion Minerals Limited,Australia/Sydney,AEDT,False,39600000,EQUITY,BMO.AX,finmb_703107066,au_market,54.584,-1.371,,84878096,0.048,1640908800,0.0,-3795776,-0.021,,0.6458333,0.40668,1703980800,1656547200,36206441,,4900060,4,29.310368,,0.032,0.032,0.11036,,0.0,0.032,202464,0.032,0.05002,,0.032,202464,0.031,AUD,161250,2631221,730327,0.031,0.031,,161250,0.245,0.028,0.03,False,,0.032,0.031,https://logo.clearbit.com/bastionminerals.com,,,,b65acc58-c762-35aa-9b64-3b7d32c750e6
Basic Materials,"Ballymore Resources Limited operates as an exploration and development company. It explores for gold, copper, silver, lead, zinc, and other metals. It holds 100% interests in the Dittmer project that consists of two mining leases and three granted exploration permits covering an area of approximately 488 square kilometers located in central Queensland; the Ruddygore project, which covers an area of 558 square kilometers located adjacent to the regional center of Chillagoe in north Queensland; and the Mount Molloy project covering an area of approximately 78 square kilometers located in Hodgkinson province of north Queensland and is located south of the town of Mount Molloy. It holds 100% interest in the Ravenswood project that comprises five exploration permits covering an area of 309 square kilometers located to the south and east of the regional centre of Charters Towers in north Queensland. Ballymore Resources Limited was incorporated in 2019 and is headquartered in Brisbane, Australia.",Brisbane,61 7 3212 6299,QLD,Australia,https://www.ballymoreresources.com,1,10 Market Street,Other Precious Metals & Mining,0.0,0.0,1.0,-667518,-0.982,-1040.7064,-684669,none,705,-3897176,0.15,7.192,-0.06389,,-0.10701,2542071,0,705,0.021,AUD,0.0,7.143,ASX,BALLYMORE FPO,Ballymore Resources Limited,Australia/Sydney,AEDT,False,39600000,EQUITY,BMR.AX,finmb_716652015,au_market,29639.613,-30.52,,123358000,0.031,1656547200,0.05835,-733698,-0.005,,4.83871,0.64015,1719705600,1656547200,46161756,,20895928,4,26246.383,,0.155,0.15,0.1865875,,0.0,0.15,63725,0.155,0.159,,0.15,63725,0.15,AUD,67460,18503700,57390,0.15,0.16,,67460,0.3,0.14,0.15,False,,0.15,0.15,https://logo.clearbit.com/ballymoreresources.com,,,,26f3c03d-1d1a-3db4-b51b-aab2c17bbd23
Healthcare,"Beamtree Holdings Limited develops and commercializes clinical decision support (CDS) systems to healthcare industry in Australia and internationally. The company offers RippleDown Expert, a CDS system that provides real-time patient monitoring and alerting solutions; RippleDown Auditor, that automates real-time reviews of data, ensuring accuracy across data entry, billing, specimen reception, and flagging suspected errors; and PICQ, a coding quality assessment tool for public and private hospitals, health services, and state health departments that assesses and reports clinically coded data. It also provides RISQ, a measurement, benchmarking, and management tool for hospital-acquired complications; Q Coding Platform, an end-to-end workflow suite for clinical coding, grouping, reporting, and auditing; and Codexpert, a searchable eBook application that offers classification reference information for clinical coding patient records. The company offers advisory and auditing solution, such as desktop analysis, data maturity index, and physical audits. It serves customers through channel partners. The company was formerly known as PKS Holdings Limited and changed its name to Beamtree Holdings Limited in August 2021. Beamtree Holdings Limited was founded in 1996 and is headquartered in Redfern, Australia.",Redfern,61 2 8313 9990,NSW,Australia,https://beamtree.com.au,1,16 Eveleigh Street,Health Information Services,-0.41711,-0.26887,-0.012209999,-2318000,1.021,-0.51023996,-6902000,buy,-202000,-2162750,0.325,1.485,-0.09511,2.3,-0.09814,6999000,1117000,16547000,0.029,AUD,0.069,1.485,ASX,BEAMTREEHD FPO,Beamtree Holdings Limited,Australia/Sydney,AEDT,False,39600000,EQUITY,BMT.AX,finmb_610910089,au_market,3.408,-8.171,,244236000,0.187,1656547200,0.1262,-4449000,-0.002,,1.7379678,0.3821,1719705600,1656547200,156587283,1.913786,56398280,4,4.7970448,16.25,0.325,0.325,0.28635,,0.0,0.325,47893,0.325,0.2871,,0.325,47893,0.325,AUD,15000,79376696,159642,0.325,0.345,,15000,0.515,0.185,0.315,False,,0.325,0.325,https://logo.clearbit.com/beamtree.com.au,,,,50c49f6b-9001-3280-a0bd-6eee9d5b965e
Energy,"Blue Star Helium Limited operates as an independent helium exploration and production company in Australia. The company was formerly known as Big Star Energy Limited and changed its name to Blue Star Helium Limited in April 2020. Blue Star Helium Limited was incorporated in 1987 and is headquartered in Subiaco, Australia.",Subiaco,61 8 9481 0389,WA,Australia,https://www.bluestarhelium.com,1,194 Hay Street,Oil & Gas E&P,0.0,0.0,0.0,-1332885,6.536,-271.8023,-3769751,none,-256967,-5664945,0.039,14.901,-0.15298,,-0.22747,10761993,0,13860,0.007,AUD,0.0,14.778,ASX,BLUESTAR FPO,Blue Star Helium Limited,Australia/Sydney,AEDT,False,39600000,EQUITY,BNL.AX,finmb_4484412,au_market,2885.675,-10.61,,1586169984,15.911,1640908800,0.039839998,-3324194,0.488,,0.0024511344,0.26572,1703980800,1656547200,1180411895,-14.183492,39995448,4,4463.249,0.060000002,0.041,0.04,0.0324125,1.3414633,0.0,0.042,2447026,0.041,0.03411,0.055,0.04,2447026,0.039,AUD,990081,61860632,2787984,0.039,0.04,0,990081,0.063,0.025,0.039,False,0,0.042,0.039,https://logo.clearbit.com/bluestarhelium.com,,,,f9a32e84-4a5f-3007-9a34-ab1e98610644
Healthcare,"Bionomics Limited, a clinical stage biopharmaceutical company, discovers and develops novel drug candidates for the treatment of central nervous system disorders and cancers. The company's lead drug candidate includes BNC210, a negative allosteric modulator of the a7 nicotinic acetylcholine receptor, which is in phase 2 clinical trial for the treatment of social anxiety disorder and phase 2b to treat post-traumatic stress disorder. It also develops BNC101, a monoclonal antibody that has completed phase 1 clinical trial that targets cancer stem cells; and BNC105, which is in phase 2 clinical trial for the treatment of refractory colorectal cancer and phase 1 clinical trial for the treatment of patients with relapsed/refractory chronic lymphocytic leukemia. Bionomics Limited was incorporated in 1996 and is based in Eastwood, Australia.",Eastwood,61 8 8150 7400,SA,Australia,https://www.bionomics.com.au,1,200 Greenhill Road,Biotechnology,-2.75491,0.0,-1.64214,-21755488,17.222,-2.90619,-16681865,buy,-9943677,-11886497,0.035,12.46,-0.18396,1.219,-0.41641,33564856,693623,6055322,0.025,AUD,0.004,12.024,ASX,BIONOMICS FPO,Bionomics Limited,Australia/Sydney,AEDT,False,39600000,EQUITY,BNO.AX,finmb_3331473,au_market,7.758,-2.816,,1309560064,0.022,1656547200,0.53139,-21759358,-0.001,,1.5909091,0.069409996,1719705600,1656547200,864899393,2.533162,46976460,4,7.569309,-1.75,0.035,0.036,0.05733,,0.0,0.038,430309,0.035,0.05496,,0.036,430309,0.035,AUD,729869,45834604,469772,0.035,0.036,0,729869,0.12,0.035,0.035,False,0,0.038,0.035,https://logo.clearbit.com/bionomics.com.au,,,,697ec344-301b-30df-a4d3-d0127b48f4f4
Basic Materials,"Bulletin Resources Limited operates as a minerals exploration company in Australia. The company primarily explores for gold, lithium, and nickel deposits. It holds interest in the Lake Rebecca gold project comprising eight granted exploration license covering an area of 600 square kilometers located to the north-east of Kalgoorlie, Western Australia; Chifley gold project covering an area of 79 square kilometers located in Western Australia; Ravensthorpe lithium project covering an area of 130 square kilometers; and Duketon North project located to the north-northwest of Laverton. The company was incorporated in 2010 and is headquartered in Perth, Australia.",Perth,61 8 9230 3585,WA,Australia,https://www.bulletinresources.com,1,139 Newcastle Street,Gold,0.0,1.2930299,1.0,-1839603,-0.471,-4.01392,-1432438,none,357830,-2243428,0.1,33.055,-0.103819996,,0.059609998,8208900,0,357830,0.028,AUD,0.001,33.053,ASX,BULLETIN FPO,Bulletin Resources Limited,Australia/Sydney,AEDT,False,39600000,EQUITY,BNR.AX,finmb_115977697,au_market,91.535,-22.866,,277558016,0.012,1656547200,0.0,462686,0.002,,8.333333,0.40883,1719705600,1656547200,178711718,2.062045,32753854,4,77.56701,,0.1,0.1,0.141925,,0.0,0.1,193634,0.1,0.1125,,0.1,193634,0.1,AUD,123028,27755802,583049,0.1,0.105,0,123028,0.33,0.082,0.1,False,0,0.1,0.1,https://logo.clearbit.com/bulletinresources.com,,,,497cce8e-d101-31dd-a2a3-612f1c06624c
Basic Materials,"Benz Mining Corp. engages in the acquisition, exploration, and exploitation of mineral properties in the Americas. The company holds interests in the Eastmain Gold project that comprises 152 contiguous mining claims covering an area of 8,014.36 hectares located to the northeast of Montreal; and the Windy Mountain property, which consists of 73 claims covering an area of 3,846.3 hectares. It also has an option to acquire a 100% interest in the Ruby Hill West and Ruby Hill East projects located west of the Eastmain gold project. The company was formerly known as Benz Capital Corp. and changed its name to Benz Mining Corp. in January 2015. The company was incorporated in 2011 and is headquartered in Vancouver, Canada.",Vancouver,,BC,Canada,https://www.benzmining.com,1,1055 West Hastings Street,Other Industrial Metals & Mining,0.0,0.0,0.0,-18743604,,0.0,,none,,-14137649,0.41,1.831,-1.4549401,,-2.2398598,517405,0,,0.004,CAD,,1.684,ASX,BENZMINING CDI 1:1,Benz Mining Corp.,Australia/Sydney,AEDT,False,39600000,EQUITY,BNZ.AX,finmb_207656049,au_market,,,,109574000,0.178,1651276800,0.01433,-10591066,-0.122,,2.3033707,0.28441,1714435200,1659225600,53080016,0.287473,65540436,4,,,0.41,0.4,0.515475,,0.0,0.41,30950,0.41,0.4524,,0.4,30950,0.4,AUD,64500,48969168,87478,0.4,0.44,,64500,0.955,0.37,0.41,False,,0.41,0.41,https://logo.clearbit.com/benzmining.com,,,,bf70bbf1-34d4-3ca4-b1dd-8e7c396a9fb9
Basic Materials,"Boadicea Resources Ltd primarily explores for mineral properties in Western Australia. The company explores for nickel, copper, gold, and lithium. Its flagship property is the Symons Hill project that covers an area of 73 square kilometers located within the Fraser Range Province of Western Australia. The company was incorporated in 2011 and is based in Malvern, Australia.",Malvern,61 4 0985 8053,VIC,Australia,https://www.boadicea.net.au,1,39A Glenferrie Road,Other Industrial Metals & Mining,0.0,0.0,1.0,-804928,,-1550.182,-625554,none,599,-1161154,0.12,8.404,-0.0753,,-0.12529999,3543643,0,599,0.046,AUD,0.0,8.325,ASX,BOADICEA FPO,Boadicea Resources Ltd,Australia/Sydney,AEDT,False,39600000,EQUITY,BOA.AX,finmb_145094864,au_market,7704.25,-7.377,,77699904,0.078,1656547200,0.0,-926959,0.081,,1.5384614,0.61964,1719705600,1656547200,40037202,1.221651,4614846,4,15565.923,,0.105,0.12,0.1431375,,0.0,0.12,4958,0.105,0.102,,0.12,4958,0.12,AUD,8000,9323988,42050,0.12,0.12,0,8000,0.25,0.094,0.105,False,0,0.12,0.12,https://logo.clearbit.com/boadicea.net.au,,,,489c57f2-4898-3914-90e0-8028ee76cbdd
